"Code","Size","Packing"
148310,	32x½”,	140
148320,	32x¾”,	140
148410,	40x½”,	90
148420,	40x¾”,	90
148430,	40×1”,	90
148510,	50x½”,	75
148520,	50x¾”,	75
148530,	50×1”,	75
148610,	63x½”,	40
148620,	63x¾”,	40
148630,	63×1”,	40
148640,	63×1¼”,	40
148650,	63×1½”,	40
148660,	63×2”, 40
148710,	75x½”,	30
148720,	75x¾”,	30
148730,	75×1”,	30
148740,	75×1¼”,	30
148750,	75×1½”,	30
148760,	75×2”,	30
148810,	90x½”,	25
148820,	90x¾”,	25
148830,	90×1”,	25
148840,	90×1¼”,	25
148850,	90×1½”,	25
148860,	90×2”, 25
148910,	110x½”,	18
148920,	110x¾”,	18
148930,	110×1”,	18
148940,	110×1¼”,	18
148950,	110×1½”,	18
148960,	110×2”,	18
1481010,	125x½”,	16
1481020,	125x¾”,	16
1481030,	125×1”,	16
1481040,	125×1¼”,	16
1481050,	125×1½”,	16
1481060,	125×2”,	16
1481110,	140x½”,	15
1481120,	140x¾”,	15
1481130,	140×1”,	15
1481140,	140×1¼”,	15
1481150,	140×1½”,	15
1481160,	140×2”,	15
1481210,	160x½”,	10
1481220,	160x¾”,	10
1481230,	160×1”,	10
1481240,	160×1¼”,	10
1481250,	160×1½”,	10
1481260,	160×2”,	10
